# H-H RDF for MACE
# r g(r)
0.0166666667 0.0000000000
0.0500000000 0.0000000000
0.0833333333 0.0000000000
0.1166666667 0.0000000000
0.1500000000 0.0000000000
0.1833333333 0.0000000000
0.2166666667 0.0000000000
0.2500000000 0.0000000000
0.2833333333 0.0000000000
0.3166666667 0.0000000000
0.3500000000 0.0000000000
0.3833333333 0.0000000000
0.4166666667 0.0000000000
0.4500000000 0.0000000000
0.4833333333 0.0000000000
0.5166666667 0.0000000000
0.5500000000 0.0000000000
0.5833333333 0.0000000000
0.6166666667 0.0000000000
0.6500000000 0.0000000000
0.6833333333 0.0000000000
0.7166666667 0.0000000000
0.7500000000 0.0000000000
0.7833333333 0.0000000000
0.8166666667 0.0000000000
0.8500000000 0.0000000000
0.8833333333 0.0000000000
0.9166666667 0.0000000000
0.9500000000 0.0000000000
0.9833333333 0.0000000000
1.0166666667 0.0000000000
1.0500000000 0.0000000000
1.0833333333 0.0000000000
1.1166666667 0.0000000000
1.1500000000 0.0000000000
1.1833333333 0.0000000000
1.2166666667 0.0000000000
1.2500000000 0.0000000000
1.2833333333 0.0000000000
1.3166666667 0.0005649140
1.3500000000 0.0046443500
1.3833333333 0.0350203097
1.4166666667 0.1755332949
1.4500000000 0.6124641122
1.4833333333 1.5292498922
1.5166666667 2.7038768046
1.5500000000 3.3837926997
1.5833333333 3.0752578910
1.6166666667 2.0210243025
1.6500000000 0.9765080352
1.6833333333 0.3522393194
1.7166666667 0.0996757360
1.7500000000 0.0307685860
1.7833333333 0.0229862307
1.8166666667 0.0354195420
1.8500000000 0.0603787969
1.8833333333 0.0957333418
1.9166666667 0.1426096371
1.9500000000 0.2066546260
1.9833333333 0.2866234582
2.0166666667 0.3829091220
2.0500000000 0.5015296314
2.0833333333 0.6331022535
2.1166666667 0.7666961466
2.1500000000 0.9023738694
2.1833333333 1.0439122167
2.2166666667 1.1686487744
2.2500000000 1.2689114510
2.2833333333 1.3509356359
2.3166666667 1.4299113831
2.3500000000 1.4424957900
2.3833333333 1.4543512791
2.4166666667 1.4442382676
2.4500000000 1.4016176510
2.4833333333 1.3427925929
2.5166666667 1.2822750811
2.5500000000 1.2123392069
2.5833333333 1.1338118027
2.6166666667 1.0611962797
2.6500000000 0.9910357029
2.6833333333 0.9383913988
2.7166666667 0.8827084815
2.7500000000 0.8327725848
2.7833333333 0.7990572889
2.8166666667 0.7685910587
2.8500000000 0.7431127333
2.8833333333 0.7260725161
2.9166666667 0.7181074645
2.9500000000 0.7129837894
2.9833333333 0.7118306553
3.0166666667 0.7186256983
3.0500000000 0.7268127443
