# O-H RDF for MACE
# r g(r)
0.0166666667 0.0000000000
0.0500000000 0.0000000000
0.0833333333 0.0000000000
0.1166666667 0.0000000000
0.1500000000 0.0000000000
0.1833333333 0.0000000000
0.2166666667 0.0000000000
0.2500000000 0.0000000000
0.2833333333 0.0000000000
0.3166666667 0.0000000000
0.3500000000 0.0000000000
0.3833333333 0.0000000000
0.4166666667 0.0000000000
0.4500000000 0.0000000000
0.4833333333 0.0000000000
0.5166666667 0.0000000000
0.5500000000 0.0000000000
0.5833333333 0.0000000000
0.6166666667 0.0000000000
0.6500000000 0.0000000000
0.6833333333 0.0000000000
0.7166666667 0.0000000000
0.7500000000 0.0000000000
0.7833333333 0.0000000000
0.8166666667 0.0000000000
0.8500000000 0.0000000000
0.8833333333 0.0183596530
0.9166666667 1.7054648713
0.9500000000 18.3976517679
0.9833333333 35.0530754329
1.0166666667 16.8854969810
1.0500000000 2.7943274811
1.0833333333 0.2185935223
1.1166666667 0.0110967862
1.1500000000 0.0006869556
1.1833333333 0.0000000000
1.2166666667 0.0000000000
1.2500000000 0.0000000000
1.2833333333 0.0000000000
1.3166666667 0.0000806244
1.3500000000 0.0002300769
1.3833333333 0.0009130124
1.4166666667 0.0033081074
1.4500000000 0.0093735771
1.4833333333 0.0276651956
1.5166666667 0.0589407073
1.5500000000 0.1257233682
1.5833333333 0.2276181126
1.6166666667 0.3669208918
1.6500000000 0.5390992095
1.6833333333 0.7398348142
1.7166666667 0.9230408745
1.7500000000 1.0788088530
1.7833333333 1.1707530292
1.8166666667 1.2424095681
1.8500000000 1.2447023462
1.8833333333 1.2091116173
1.9166666667 1.1264060612
1.9500000000 1.0401276063
1.9833333333 0.9344637326
2.0166666667 0.8315165991
2.0500000000 0.7372442814
2.0833333333 0.6414624138
2.1166666667 0.5718602671
2.1500000000 0.5030727250
2.1833333333 0.4463680441
2.2166666667 0.3949544526
2.2500000000 0.3481498889
2.2833333333 0.3113566545
2.3166666667 0.2842306019
2.3500000000 0.2650248076
2.3833333333 0.2467009161
2.4166666667 0.2303092977
2.4500000000 0.2223968416
2.4833333333 0.2170219195
2.5166666667 0.2129773635
2.5500000000 0.2187096298
2.5833333333 0.2300776932
2.6166666667 0.2421873927
2.6500000000 0.2625060420
2.6833333333 0.2893758091
2.7166666667 0.3256039165
2.7500000000 0.3638825592
2.7833333333 0.4200832388
2.8166666667 0.4813599313
2.8500000000 0.5582915014
2.8833333333 0.6438982678
2.9166666667 0.7375202613
2.9500000000 0.8377243933
2.9833333333 0.9492471607
3.0166666667 1.0549799579
3.0500000000 1.1673537811
