# O-O RDF for MACE
# r g(r)
0.0250000000 0.0000000000
0.0750000000 0.0000000000
0.1250000000 0.0000000000
0.1750000000 0.0000000000
0.2250000000 0.0000000000
0.2750000000 0.0000000000
0.3250000000 0.0000000000
0.3750000000 0.0000000000
0.4250000000 0.0000000000
0.4750000000 0.0000000000
0.5250000000 0.0000000000
0.5750000000 0.0000000000
0.6250000000 0.0000000000
0.6750000000 0.0000000000
0.7250000000 0.0000000000
0.7750000000 0.0000000000
0.8250000000 0.0000000000
0.8750000000 0.0000000000
0.9250000000 0.0000000000
0.9750000000 0.0000000000
1.0250000000 0.0000000000
1.0750000000 0.0000000000
1.1250000000 0.0000000000
1.1750000000 0.0000000000
1.2250000000 0.0000000000
1.2750000000 0.0000000000
1.3250000000 0.0000000000
1.3750000000 0.0000000000
1.4250000000 0.0000000000
1.4750000000 0.0000000000
1.5250000000 0.0000000000
1.5750000000 0.0000000000
1.6250000000 0.0000000000
1.6750000000 0.0000000000
1.7250000000 0.0000000000
1.7750000000 0.0000000000
1.8250000000 0.0000000000
1.8750000000 0.0000000000
1.9250000000 0.0000000000
1.9750000000 0.0000000000
2.0250000000 0.0000000000
2.0750000000 0.0000000000
2.1250000000 0.0000000000
2.1750000000 0.0000000000
2.2250000000 0.0000000000
2.2750000000 0.0000000000
2.3250000000 0.0000000000
2.3750000000 0.0003972410
2.4250000000 0.0057471932
2.4750000000 0.0402674138
2.5250000000 0.1678454409
2.5750000000 0.4833834672
2.6250000000 1.0259470817
2.6750000000 1.6687697885
2.7250000000 2.2280463823
2.7750000000 2.5435568001
2.8250000000 2.5768741653
2.8750000000 2.4228286690
2.9250000000 2.1426015731
2.9750000000 1.8609512034
3.0250000000 1.6044127688
3.0750000000 1.3839180733
3.1250000000 1.2165247022
3.1750000000 1.0859317170
3.2250000000 0.9918743504
3.2750000000 0.9268617115
3.3250000000 0.8828300629
3.3750000000 0.8505386429
3.4250000000 0.8385418733
3.4750000000 0.8288886347
3.5250000000 0.8324707428
3.5750000000 0.8405262849
3.6250000000 0.8575575359
