# H-H RDF for expt
# r g(r)
0.0000000000 -0.0000000000
1.5662120546 -0.0000000000
1.6542014958 0.0025839793
1.7861856577 0.0723514212
1.8345798504 0.1576227390
1.8653761549 0.2403100775
1.8917729872 0.3255813953
1.9269687637 0.4496124031
1.9665640123 0.5788113695
2.0061592609 0.7183462532
2.0501539815 0.8785529716
2.0853497580 0.9793281654
2.1205455345 1.0749354005
2.1557413110 1.1447028424
2.2085349758 1.2118863049
2.2481302244 1.2506459948
2.3141223053 1.2609819121
2.3669159701 1.2480620155
2.4153101628 1.2222222222
2.4593048834 1.1782945736
2.5252969644 1.0930232558
2.5868895733 1.0000000000
2.6484821821 0.9250645995
2.7144742631 0.8449612403
2.7804663440 0.7829457364
2.8420589529 0.7519379845
2.9212494501 0.7416020672
2.9916410031 0.7545219638
3.0620325561 0.7829457364
3.1280246370 0.8320413437
3.1984161901 0.8837209302
3.2820061593 0.9560723514
3.3699956005 1.0206718346
3.4491860977 1.0723514212
3.5459744831 1.1240310078
3.6295644523 1.1498708010
3.7043554773 1.1576227390
3.8055433348 1.1498708010
3.9375274967 1.1266149871
4.0739111307 1.0878552972
4.1926968764 1.0568475452
4.3290805103 1.0232558140
4.5578530576 0.9922480620
4.6898372195 0.9896640827
4.8174219094 0.9844961240
4.9494060713 0.9819121447
5.1737791465 0.9844961240
5.4113506379 0.9844961240
5.5609326881 0.9793281654
5.7457105147 0.9844961240
5.9216893973 0.9870801034
6.1372635284 0.9870801034
6.2648482182 0.9948320413
6.4320281566 0.9948320413
6.6300043995 0.9974160207
6.8367795864 1.0000000000
7.0567531896 1.0051679587
7.2811262648 1.0129198966
7.5274967004 1.0129198966
7.7782666080 1.0103359173
8.0950285966 1.0051679587
8.4997800264 0.9948320413
8.8165420150 0.9948320413
9.3708754949 0.9974160207
9.7316322041 1.0000000000
10.0000000000 1.0000000000
