# O-O RDF for expt
# r g(r)
0.0000000000 0.0
1.2054553454 0.0
1.2758468984 0.0064599483
1.3286405631 0.0271317829
1.3682358117 0.0633074935
1.3990321161 0.1046511628
1.4386273647 0.1847545220
1.4782226133 0.2984496124
1.5222173339 0.4431524548
1.5706115266 0.6188630491
1.6146062473 0.7687338501
1.6498020238 0.8772609819
1.6805983282 0.9470284238
1.7069951606 0.9883720930
1.7421909371 1.0297157623
1.7773867136 1.0503875969
1.8257809063 1.0322997416
1.8653761549 0.9909560724
1.8917729872 0.9366925065
1.9181698196 0.8850129199
1.9665640123 0.7894056848
2.0149582050 0.6782945736
2.0633523977 0.5749354005
2.1425428949 0.4560723514
2.1865376155 0.4018087855
2.2569291685 0.3449612403
2.3229212495 0.3010335917
2.3801143863 0.2906976744
2.4373075231 0.2958656331
2.4901011879 0.3087855297
2.5516937967 0.3501291990
2.6000879894 0.3940568475
2.6704795425 0.4819121447
2.7496700396 0.6033591731
2.8156621205 0.7377260982
2.8860536736 0.8979328165
2.9652441707 1.0633074935
3.0356357237 1.1899224806
3.0796304443 1.2571059432
3.1280246370 1.3113695090
3.1676198856 1.3423772610
3.2160140783 1.3708010336
3.2644082710 1.3811369509
3.3260008799 1.3785529716
3.3831940167 1.3604651163
3.4359876815 1.3320413437
3.4887813462 1.2855297158
3.5459744831 1.2441860465
3.6163660361 1.1950904393
3.6911570612 1.1459948320
3.7747470304 1.1046511628
3.8627364716 1.0736434109
4.0255169380 1.0322997416
4.1575010999 1.0142118863
4.2938847338 0.9987080103
4.4434667840 0.9832041344
4.6018477783 0.9728682171
4.7734271887 0.9599483204
4.9582050154 0.9625322997
5.1693796744 0.9677002584
5.3893532776 0.9754521964
5.5741311043 0.9832041344
5.8249010119 0.9832041344
6.1328640563 0.9832041344
6.3704355477 0.9935400517
6.6827980642 1.0064599483
7.0743510779 1.0167958656
7.3559172899 1.0167958656
7.6726792785 1.0064599483
8.0862296524 0.9935400517
8.4117905851 0.9909560724
8.8517377915 0.9935400517
9.3664760229 1.0012919897
9.7228332600 1.0012919897
10.0000000000 1.0012919897
