# O-O RDF for expt
# r g(r)
0.0000000000 0.0000000000
2.0017597888 0.0000000000
2.3581170260 0.0000000000
2.3889133304 0.0155038760
2.4065112187 0.0335917313
2.4285085790 0.0645994832
2.4461064672 0.1266149871
2.4637043555 0.1963824289
2.4813022437 0.2816537468
2.4989001320 0.4237726098
2.5164980202 0.6020671835
2.5428948526 0.8578811370
2.5692916850 1.1963824289
2.5956885174 1.5658914729
2.6264848218 1.9147286822
2.6528816542 2.1524547804
2.6748790145 2.3229974160
2.6924769028 2.4315245478
2.7056753190 2.4883720930
2.7144742631 2.5322997416
2.7408710955 2.5633074935
2.7716673999 2.5762273902
2.7936647602 2.5245478036
2.8068631764 2.4573643411
2.8288605367 2.3798449612
2.8508578971 2.2558139535
2.8684557853 2.1343669251
2.8948526177 2.0155038760
2.9124505059 1.9043927649
2.9388473383 1.7467700258
2.9696436428 1.6072351421
3.0004399472 1.4341085271
3.0488341399 1.2583979328
3.0884293885 1.1214470284
3.1500219974 1.0103359173
3.2028156621 0.9224806202
3.2644082710 0.8630490956
3.3304003520 0.8320413437
3.4095908491 0.8087855297
3.4623845139 0.8139534884
3.5503739551 0.8346253230
3.6295644523 0.8630490956
3.7043554773 0.8940568475
3.7835459745 0.9250645995
3.8759348878 0.9664082687
4.0079190497 1.0155038760
4.1223053234 1.0594315245
4.2498900132 1.1007751938
4.3466783986 1.1240310078
4.4346678399 1.1369509044
4.5138583370 1.1369509044
4.5842498900 1.1266149871
4.6546414430 1.1085271318
4.7382314122 1.0826873385
4.8262208535 1.0465116279
4.9142102948 1.0129198966
5.0417949846 0.9586563307
5.1429828421 0.9276485788
5.2529696436 0.9018087855
5.3585569732 0.8837209302
5.5169379674 0.8785529716
5.6973163220 0.8992248062
5.8996920370 0.9354005168
6.0888693357 0.9819121447
6.2956445227 1.0335917313
6.4364276287 1.0620155039
6.5640123185 1.0749354005
6.7355917290 1.0749354005
6.9115706115 1.0594315245
7.1535415750 1.0310077519
7.3295204575 1.0103359173
7.5054993401 0.9870801034
7.7078750550 0.9741602067
7.9014518258 0.9741602067
8.1390233172 0.9793281654
8.4645842499 1.0000000000
8.7109546854 1.0077519380
9.1333040035 1.0051679587
9.5292564892 0.9974160207
9.7888253410 0.9974160207
10.0000000000 0.9974160207
