# H-H RDF for MACE
# r g(r)
0.0150000000 0.0000000000
0.0450000000 0.0000000000
0.0750000000 0.0000000000
0.1050000000 0.0000000000
0.1350000000 0.0000000000
0.1650000000 0.0000000000
0.1950000000 0.0000000000
0.2250000000 0.0000000000
0.2550000000 0.0000000000
0.2850000000 0.0000000000
0.3150000000 0.0000000000
0.3450000000 0.0000000000
0.3750000000 0.0000000000
0.4050000000 0.0000000000
0.4350000000 0.0000000000
0.4650000000 0.0000000000
0.4950000000 0.0000000000
0.5250000000 0.0000000000
0.5550000000 0.0000000000
0.5850000000 0.0000000000
0.6150000000 0.0000000000
0.6450000000 0.0000000000
0.6750000000 0.0000000000
0.7050000000 0.0000000000
0.7350000000 0.0000000000
0.7650000000 0.0000000000
0.7950000000 0.0000000000
0.8250000000 0.0000000000
0.8550000000 0.0000000000
0.8850000000 0.0000000000
0.9150000000 0.0000000000
0.9450000000 0.0000000000
0.9750000000 0.0000000000
1.0050000000 0.0000000000
1.0350000000 0.0000000000
1.0650000000 0.0000000000
1.0950000000 0.0000000000
1.1250000000 0.0000000000
1.1550000000 0.0000000000
1.1850000000 0.0000000000
1.2150000000 0.0000000000
1.2450000000 0.0000000000
1.2750000000 0.0000000000
1.3050000000 0.0000000000
1.3350000000 0.0032154581
1.3650000000 0.0082018081
1.3950000000 0.0654404069
1.4250000000 0.2329829784
1.4550000000 0.7432116712
1.4850000000 1.6262080873
1.5150000000 2.6624237945
1.5450000000 3.3792365180
1.5750000000 3.2789425917
1.6050000000 2.4589755293
1.6350000000 1.4203594295
1.6650000000 0.6144191020
1.6950000000 0.2236256274
1.7250000000 0.0686905566
1.7550000000 0.0289430548
1.7850000000 0.0233819295
1.8150000000 0.0384654731
1.8450000000 0.0600459708
1.8750000000 0.0894738835
1.9050000000 0.1219458477
1.9350000000 0.1845186413
1.9650000000 0.2346672602
1.9950000000 0.3346947069
2.0250000000 0.4121203578
2.0550000000 0.5183888537
2.0850000000 0.6355521421
2.1150000000 0.7410666797
2.1450000000 0.9027486634
2.1750000000 1.0010448172
2.2050000000 1.1534141032
2.2350000000 1.2257842222
2.2650000000 1.3114417111
2.2950000000 1.3849770885
2.3250000000 1.4461770449
2.3550000000 1.4464221238
2.3850000000 1.4631007822
2.4150000000 1.4691200008
2.4450000000 1.4009085070
2.4750000000 1.3648664238
2.5050000000 1.3044654405
2.5350000000 1.2483080063
2.5650000000 1.1599506073
2.5950000000 1.1107812886
2.6250000000 1.0480189990
2.6550000000 0.9795734038
2.6850000000 0.9487967704
2.7150000000 0.8672164663
2.7450000000 0.8534350985
2.7750000000 0.8292114082
2.8050000000 0.7880185608
2.8350000000 0.7689732913
2.8650000000 0.7537293609
2.8950000000 0.7411521949
2.9250000000 0.7304183135
2.9550000000 0.7115063039
2.9850000000 0.7287923898
3.0150000000 0.7203855614
3.0450000000 0.7337997636
3.0750000000 0.7499230201
3.1050000000 0.7370870057
3.1350000000 0.7696311301
3.1650000000 0.7957294191
3.1950000000 0.8076168661
3.2250000000 0.8226609739
3.2550000000 0.8411627295
3.2850000000 0.8554910632
3.3150000000 0.8795373351
3.3450000000 0.9054326940
3.3750000000 0.9195391717
3.4050000000 0.9457519667
3.4350000000 0.9868868666
3.4650000000 1.0031256644
3.4950000000 1.0278908105
3.5250000000 1.0459316104
3.5550000000 1.0881600782
3.5850000000 1.0911802377
3.6150000000 1.1222118426
3.6450000000 1.1511675877
3.6750000000 1.1592770912
3.7050000000 1.1807511852
3.7350000000 1.1956828593
3.7650000000 1.1842958078
3.7950000000 1.2019894016
3.8250000000 1.2099316532
3.8550000000 1.1943013030
3.8850000000 1.1995113287
3.9150000000 1.1949913732
3.9450000000 1.1783996559
3.9750000000 1.1719233910
4.0050000000 1.1553056912
4.0350000000 1.1498843712
4.0650000000 1.1316644157
4.0950000000 1.1182957964
4.1250000000 1.1014527163
4.1550000000 1.1014648417
4.1850000000 1.0780949235
4.2150000000 1.0823007404
4.2450000000 1.0799551568
4.2750000000 1.0698335892
4.3050000000 1.0715701427
4.3350000000 1.0672942990
4.3650000000 1.0567513416
4.3950000000 1.0583293724
4.4250000000 1.0554099061
4.4550000000 1.0490077933
4.4850000000 1.0473670314
4.5150000000 1.0500814700
4.5450000000 1.0409503032
4.5750000000 1.0333669943
4.6050000000 1.0350807343
4.6350000000 1.0413764488
4.6650000000 1.0319465111
4.6950000000 1.0318868675
4.7250000000 1.0179124881
4.7550000000 1.0242032303
4.7850000000 1.0153500128
4.8150000000 1.0000180500
4.8450000000 1.0115435399
4.8750000000 1.0073309510
4.9050000000 0.9906001545
4.9350000000 0.9996144234
4.9650000000 0.9887334180
4.9950000000 0.9821754245
5.0250000000 0.9810240521
5.0550000000 0.9753701725
5.0850000000 0.9666535005
5.1150000000 0.9724575025
5.1450000000 0.9613424270
5.1750000000 0.9558639433
5.2050000000 0.9609302331
5.2350000000 0.9552691564
5.2650000000 0.9593681779
5.2950000000 0.9597020911
5.3250000000 0.9505134424
5.3550000000 0.9521729473
5.3850000000 0.9469732634
5.4150000000 0.9540562381
5.4450000000 0.9516262825
5.4750000000 0.9546515506
5.5050000000 0.9527217918
5.5350000000 0.9652230699
5.5650000000 0.9627810747
5.5950000000 0.9647905707
5.6250000000 0.9696810348
5.6550000000 0.9732986209
5.6850000000 0.9779484842
5.7150000000 0.9778462505
5.7450000000 0.9758213899
5.7750000000 0.9792272490
5.8050000000 0.9859309830
5.8350000000 0.9855255303
5.8650000000 0.9820778794
5.8950000000 0.9908344281
5.9250000000 0.9929789399
5.9550000000 0.9974002840
5.9850000000 0.9930615888
