# O-H RDF for MACE
# r g(r)
0.0150000000 0.0000000000
0.0450000000 0.0000000000
0.0750000000 0.0000000000
0.1050000000 0.0000000000
0.1350000000 0.0000000000
0.1650000000 0.0000000000
0.1950000000 0.0000000000
0.2250000000 0.0000000000
0.2550000000 0.0000000000
0.2850000000 0.0000000000
0.3150000000 0.0000000000
0.3450000000 0.0000000000
0.3750000000 0.0000000000
0.4050000000 0.0000000000
0.4350000000 0.0000000000
0.4650000000 0.0000000000
0.4950000000 0.0000000000
0.5250000000 0.0000000000
0.5550000000 0.0000000000
0.5850000000 0.0000000000
0.6150000000 0.0000000000
0.6450000000 0.0000000000
0.6750000000 0.0000000000
0.7050000000 0.0000000000
0.7350000000 0.0000000000
0.7650000000 0.0000000000
0.7950000000 0.0000000000
0.8250000000 0.0000000000
0.8550000000 0.0008641679
0.8850000000 0.0137118386
0.9150000000 1.3725447313
0.9450000000 14.5529596582
0.9750000000 34.9137642493
1.0050000000 25.0684455579
1.0350000000 6.7012651325
1.0650000000 0.8861702106
1.0950000000 0.0732376325
1.1250000000 0.0039933199
1.1550000000 0.0009471451
1.1850000000 0.0000000000
1.2150000000 0.0000000000
1.2450000000 0.0000000000
1.2750000000 0.0000000000
1.3050000000 0.0000000000
1.3350000000 0.0000000000
1.3650000000 0.0013562886
1.3950000000 0.0029218119
1.4250000000 0.0043556920
1.4550000000 0.0107432586
1.4850000000 0.0289353404
1.5150000000 0.0539500081
1.5450000000 0.1116906292
1.5750000000 0.1922859730
1.6050000000 0.3229966043
1.6350000000 0.4674697233
1.6650000000 0.6219252793
1.6950000000 0.7920778443
1.7250000000 0.9460866980
1.7550000000 1.0904231289
1.7850000000 1.1958523576
1.8150000000 1.2381557379
1.8450000000 1.2373798648
1.8750000000 1.1955854294
1.9050000000 1.1288051184
1.9350000000 1.0766957676
1.9650000000 0.9769861910
1.9950000000 0.8925837969
2.0250000000 0.8043972814
2.0550000000 0.7400915475
2.0850000000 0.6529677117
2.1150000000 0.5775159521
2.1450000000 0.5135524779
2.1750000000 0.4543429573
2.2050000000 0.4141265514
2.2350000000 0.3713379837
2.2650000000 0.3402616647
2.2950000000 0.3104328037
2.3250000000 0.2844746246
2.3550000000 0.2610969607
2.3850000000 0.2427965793
2.4150000000 0.2314939079
2.4450000000 0.2188728145
2.4750000000 0.2241191164
2.5050000000 0.2202934405
2.5350000000 0.2178630901
2.5650000000 0.2270087942
2.5950000000 0.2271381726
2.6250000000 0.2594764767
2.6550000000 0.2619811492
2.6850000000 0.2891106676
2.7150000000 0.3275831051
2.7450000000 0.3680030852
2.7750000000 0.4112025099
2.8050000000 0.4634803760
2.8350000000 0.5234482292
2.8650000000 0.5966717035
2.8950000000 0.6730201364
2.9250000000 0.7664341780
2.9550000000 0.8492064872
2.9850000000 0.9481541289
3.0150000000 1.0551778599
3.0450000000 1.1576843734
3.0750000000 1.2575460833
3.1050000000 1.3389340669
3.1350000000 1.4090845222
3.1650000000 1.4617780614
3.1950000000 1.5298923777
3.2250000000 1.5688068472
3.2550000000 1.5919009164
3.2850000000 1.6076290676
3.3150000000 1.5950486928
3.3450000000 1.5720435543
3.3750000000 1.5431111934
3.4050000000 1.5191458482
3.4350000000 1.4816427840
3.4650000000 1.4343650532
3.4950000000 1.3985711321
3.5250000000 1.3573761960
3.5550000000 1.3178666488
3.5850000000 1.2658180324
3.6150000000 1.2486185019
3.6450000000 1.2016628202
3.6750000000 1.1806270697
3.7050000000 1.1584093719
3.7350000000 1.1254280755
3.7650000000 1.0974471257
3.7950000000 1.1024059934
3.8250000000 1.0869949263
3.8550000000 1.0580263659
3.8850000000 1.0601673990
3.9150000000 1.0570487318
3.9450000000 1.0284079240
3.9750000000 1.0240593045
4.0050000000 1.0183071047
4.0350000000 1.0269699094
4.0650000000 1.0118294507
4.0950000000 1.0145024845
4.1250000000 1.0108645524
4.1550000000 1.0051029776
4.1850000000 0.9895902740
4.2150000000 0.9772607130
4.2450000000 0.9838317779
4.2750000000 0.9759836092
4.3050000000 0.9728600366
4.3350000000 0.9808909160
4.3650000000 0.9718644459
4.3950000000 0.9632538493
4.4250000000 0.9618529065
4.4550000000 0.9684559656
4.4850000000 0.9596265281
4.5150000000 0.9529909766
4.5450000000 0.9541537911
4.5750000000 0.9401419364
4.6050000000 0.9506347321
4.6350000000 0.9469853598
4.6650000000 0.9565602827
4.6950000000 0.9525435571
4.7250000000 0.9516359790
4.7550000000 0.9536932401
4.7850000000 0.9671584146
4.8150000000 0.9575150084
4.8450000000 0.9604700345
4.8750000000 0.9663372119
4.9050000000 0.9632973548
4.9350000000 0.9647217501
4.9650000000 0.9664002934
4.9950000000 0.9764519936
5.0250000000 0.9803406095
5.0550000000 0.9801619003
5.0850000000 0.9715872122
5.1150000000 0.9844925570
5.1450000000 0.9839047109
5.1750000000 0.9890441692
5.2050000000 0.9933471442
5.2350000000 1.0021667033
5.2650000000 1.0005562136
5.2950000000 0.9880563030
5.3250000000 0.9955370117
5.3550000000 1.0010920677
5.3850000000 0.9937163441
5.4150000000 0.9965259295
5.4450000000 0.9938007633
5.4750000000 1.0006231330
5.5050000000 0.9978566768
5.5350000000 0.9944313289
5.5650000000 0.9946937591
5.5950000000 0.9966492679
5.6250000000 1.0013220343
5.6550000000 0.9899358758
5.6850000000 0.9859274957
5.7150000000 0.9876936074
5.7450000000 0.9827842088
5.7750000000 0.9791546058
5.8050000000 0.9793720635
5.8350000000 0.9677685781
5.8650000000 0.9786849040
5.8950000000 0.9813482040
5.9250000000 0.9737572783
5.9550000000 0.9704736995
5.9850000000 0.9672597731
