# O-O RDF for MACE
# r g(r)
0.0150000000 0.0000000000
0.0450000000 0.0000000000
0.0750000000 0.0000000000
0.1050000000 0.0000000000
0.1350000000 0.0000000000
0.1650000000 0.0000000000
0.1950000000 0.0000000000
0.2250000000 0.0000000000
0.2550000000 0.0000000000
0.2850000000 0.0000000000
0.3150000000 0.0000000000
0.3450000000 0.0000000000
0.3750000000 0.0000000000
0.4050000000 0.0000000000
0.4350000000 0.0000000000
0.4650000000 0.0000000000
0.4950000000 0.0000000000
0.5250000000 0.0000000000
0.5550000000 0.0000000000
0.5850000000 0.0000000000
0.6150000000 0.0000000000
0.6450000000 0.0000000000
0.6750000000 0.0000000000
0.7050000000 0.0000000000
0.7350000000 0.0000000000
0.7650000000 0.0000000000
0.7950000000 0.0000000000
0.8250000000 0.0000000000
0.8550000000 0.0000000000
0.8850000000 0.0000000000
0.9150000000 0.0000000000
0.9450000000 0.0000000000
0.9750000000 0.0000000000
1.0050000000 0.0000000000
1.0350000000 0.0000000000
1.0650000000 0.0000000000
1.0950000000 0.0000000000
1.1250000000 0.0000000000
1.1550000000 0.0000000000
1.1850000000 0.0000000000
1.2150000000 0.0000000000
1.2450000000 0.0000000000
1.2750000000 0.0000000000
1.3050000000 0.0000000000
1.3350000000 0.0000000000
1.3650000000 0.0000000000
1.3950000000 0.0000000000
1.4250000000 0.0000000000
1.4550000000 0.0000000000
1.4850000000 0.0000000000
1.5150000000 0.0000000000
1.5450000000 0.0000000000
1.5750000000 0.0000000000
1.6050000000 0.0000000000
1.6350000000 0.0000000000
1.6650000000 0.0000000000
1.6950000000 0.0000000000
1.7250000000 0.0000000000
1.7550000000 0.0000000000
1.7850000000 0.0000000000
1.8150000000 0.0000000000
1.8450000000 0.0000000000
1.8750000000 0.0000000000
1.9050000000 0.0000000000
1.9350000000 0.0000000000
1.9650000000 0.0000000000
1.9950000000 0.0000000000
2.0250000000 0.0000000000
2.0550000000 0.0000000000
2.0850000000 0.0000000000
2.1150000000 0.0000000000
2.1450000000 0.0000000000
2.1750000000 0.0000000000
2.2050000000 0.0000000000
2.2350000000 0.0000000000
2.2650000000 0.0000000000
2.2950000000 0.0000000000
2.3250000000 0.0000000000
2.3550000000 0.0000000000
2.3850000000 0.0000000000
2.4150000000 0.0035214737
2.4450000000 0.0146012507
2.4750000000 0.0364617781
2.5050000000 0.0920526260
2.5350000000 0.2097358268
2.5650000000 0.4054246710
2.5950000000 0.7129127146
2.6250000000 1.0264376548
2.6550000000 1.4251169035
2.6850000000 1.8161486531
2.7150000000 2.1499408191
2.7450000000 2.4074591562
2.7750000000 2.6203943622
2.8050000000 2.5806316515
2.8350000000 2.5716624441
2.8650000000 2.4423984577
2.8950000000 2.3739687349
2.9250000000 2.1796893520
2.9550000000 1.9513152203
2.9850000000 1.8198018821
3.0150000000 1.6628914496
3.0450000000 1.5649424144
3.0750000000 1.4327411162
3.1050000000 1.2909527253
3.1350000000 1.1799021735
3.1650000000 1.1504645476
3.1950000000 1.0877159852
3.2250000000 0.9964843784
3.2550000000 0.9609968515
3.2850000000 0.9409077305
3.3150000000 0.8938183187
3.3450000000 0.9008022349
3.3750000000 0.8792246418
3.4050000000 0.8640214777
3.4350000000 0.8581337403
3.4650000000 0.8719916890
3.4950000000 0.8608693314
3.5250000000 0.8692124997
3.5550000000 0.8351029241
3.5850000000 0.8701243689
3.6150000000 0.8828527769
3.6450000000 0.8745634994
3.6750000000 0.8753603095
3.7050000000 0.8977114302
3.7350000000 0.9017514470
3.7650000000 0.9108014047
3.7950000000 0.9256926502
3.8250000000 0.9414102793
3.8550000000 0.9689665803
3.8850000000 0.9965833078
3.9150000000 0.9971133701
3.9450000000 0.9978420270
3.9750000000 0.9955105525
4.0050000000 1.0254676573
4.0350000000 1.0492235573
4.0650000000 1.0443588519
4.0950000000 1.0765728483
4.1250000000 1.0840548767
4.1550000000 1.0861533265
4.1850000000 1.1263383900
4.2150000000 1.1188879148
4.2450000000 1.1323351183
4.2750000000 1.1517578503
4.3050000000 1.1374237651
4.3350000000 1.1437302239
4.3650000000 1.1377643823
4.3950000000 1.1544488487
4.4250000000 1.1620554471
4.4550000000 1.1437412055
4.4850000000 1.1570803432
4.5150000000 1.1491853504
4.5450000000 1.1487298756
4.5750000000 1.1560374968
4.6050000000 1.1416295531
4.6350000000 1.1680075676
4.6650000000 1.1320347575
4.6950000000 1.1159835955
4.7250000000 1.1424497365
4.7550000000 1.1200177244
4.7850000000 1.1198092693
4.8150000000 1.1050129045
4.8450000000 1.0820747692
4.8750000000 1.0590757086
4.9050000000 1.0763585342
4.9350000000 1.0639444093
4.9650000000 1.0470643398
4.9950000000 1.0227945585
5.0250000000 1.0300379083
5.0550000000 1.0031798256
5.0850000000 0.9871085182
5.1150000000 0.9762504000
5.1450000000 0.9576249424
5.1750000000 0.9530729625
5.2050000000 0.9446767810
5.2350000000 0.9472766133
5.2650000000 0.9201195543
5.2950000000 0.9041372187
5.3250000000 0.9016742650
5.3550000000 0.8820204042
5.3850000000 0.8878019647
5.4150000000 0.8905123290
5.4450000000 0.8654863976
5.4750000000 0.8727285136
5.5050000000 0.8782369236
5.5350000000 0.8803906020
5.5650000000 0.8671937277
5.5950000000 0.8732551092
5.6250000000 0.8683467410
5.6550000000 0.8728055952
5.6850000000 0.8839536352
5.7150000000 0.8966279854
5.7450000000 0.8898550851
5.7750000000 0.8986468374
5.8050000000 0.8982199678
5.8350000000 0.9137398921
5.8650000000 0.9138199943
5.8950000000 0.9399295125
5.9250000000 0.9253893733
5.9550000000 0.9438888190
5.9850000000 0.9467774682
