# O-O RDF for AIMD (revPBE-D3/TZV2P)
# r g(r)
0.0000000000 0.0000000000
2.4396551724 0.0000000000
2.4662068966 0.0289435601
2.4903448276 0.0615050651
2.5144827586 0.1157742402
2.5410344828 0.2279305355
2.5675862069 0.3943560058
2.6037931034 0.7489146165
2.6303448276 1.0817655572
2.6617241379 1.4725036179
2.7027586207 1.9862518090
2.7341379310 2.3046309696
2.7558620690 2.4384949349
2.7631034483 2.5000000000
2.7800000000 2.5434153401
2.8041379310 2.5723589001
2.8306896552 2.5506512301
2.8524137931 2.4927641100
2.8693103448 2.4167872648
2.9031034483 2.2612156295
2.9417241379 2.0369030391
2.9900000000 1.7872648336
3.0334482759 1.5701881331
3.0962068966 1.3241678726
3.1710344828 1.1143270622
3.2362068966 0.9985528220
3.3110344828 0.9189580318
3.3568965517 0.8900144718
3.4100000000 0.8719247467
3.4751724138 0.8683068017
3.5524137931 0.8719247467
3.6489655172 0.8936324168
3.8179310345 0.9551374819
3.9917241379 1.0130246020
4.1341379310 1.0672937771
4.2668965517 1.1034732272
4.3344827586 1.1143270622
4.4068965517 1.1215629522
4.4793103448 1.1215629522
4.5734482759 1.1143270622
4.7037931034 1.0853835022
4.8293103448 1.0528219971
4.9910344828 0.9985528220
5.1068965517 0.9551374819
5.2420689655 0.9081041968
5.3820689655 0.8791606368
5.4810344828 0.8646888567
5.5751724138 0.8646888567
5.7248275862 0.8755426918
5.8889655172 0.9117221418
6.0965517241 0.9732272069
